order_number,order_date,total_amount,vendor,destination_dc_code
PO-2023-001800,2023-10-14,400307.69,Super Micro Computer,DC-US002
PO-2023-001801,2023-11-17,285234.99,Lenovo,DC-IE001
PO-2023-001802,2023-10-25,930349.4,Dell Technologies,DC-US002
PO-2023-001803,2023-09-09,345720.04,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001804,2023-06-21,79344.2,Arista Networks,DC-BR001
PO-2023-001805,2023-01-17,78052.74,Juniper Networks,DC-NL001
PO-2023-001806,2023-01-13,3000.59,Juniper Networks,DC-DE001
PO-2023-001807,2023-10-23,114417.75,Dell Technologies,DC-US002
PO-2023-001808,2023-11-18,66488.64,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-001809,2023-11-23,386472.45,Dell Technologies,DC-US008
PO-2023-001810,2023-03-04,1412369.93,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-001811,2023-09-01,657168.49,Supermicro,DC-NL001
PO-2023-001812,2023-01-13,228204.94,Dell Technologies,DC-CA001
PO-2023-001813,2023-11-09,12980.84,Schneider Electric,DC-US013
PO-2023-001814,2023-07-09,190513.45,Super Micro Computer,DC-JP001
PO-2023-001815,2023-07-12,222980.32,Dell Technologies,DC-US002
PO-2023-001816,2023-07-14,166760.84,Cisco Systems,DC-US006
PO-2023-001817,2023-01-01,518132.7,Cisco Systems,DC-IE006
PO-2023-001818,2023-09-28,30953.39,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-001819,2023-05-27,336614.96,Dell Technologies,DC-JP002
PO-2023-001820,2023-03-04,23872.91,Dell Technologies,DC-NL003
PO-2023-001821,2023-06-23,142623.95,HPE (Hewlett Packard Enterprise),DC-JP002
PO-2023-001822,2023-05-26,5233.0,NetApp,DC-IE001
PO-2023-001823,2023-02-03,264145.08,HPE (Hewlett Packard Enterprise),DC-US005
PO-2023-001824,2023-06-15,16013.93,Cisco Systems,DC-US002
PO-2023-001825,2023-12-24,328829.76,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-001826,2023-07-23,33329.96,Dell Technologies,DC-IE004
PO-2023-001827,2023-09-12,2909.72,Eaton Corporation,DC-AU002
PO-2023-001385,2023-12-04,1380195.66,Lenovo,DC-US003
PO-2023-001829,2023-04-28,2431406.61,Dell Technologies,DC-NL001
PO-2023-001830,2023-09-27,294426.95,Lenovo,DC-US005
PO-2023-001831,2023-03-14,4715.66,Dell Technologies,DC-DE001
PO-2023-001832,2023-03-24,373114.98,HPE (Hewlett Packard Enterprise),DC-IE005
PO-2023-001833,2023-12-08,113730.21,Cisco Systems,DC-BR001
PO-2023-001834,2023-07-21,306273.72,Dell Technologies,DC-IE001
PO-2023-001835,2023-11-20,121114.23,Dell Technologies,DC-US001
PO-2023-001836,2023-08-21,78114.48,Arista Networks,DC-DE003
PO-2023-001837,2023-02-20,14233.75,Cisco Systems,DC-BR004
PO-2023-001838,2023-11-28,2419.7,Pure Storage,DC-BR001
PO-2023-001839,2023-08-24,79150.4,Dell Technologies,DC-NL001
PO-2023-001840,2023-01-24,547155.12,Dell Technologies,DC-IE001
PO-2023-001841,2023-12-21,113885.2,Cisco Systems,DC-NL002
PO-2023-001842,2023-02-19,2458.16,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001843,2023-05-07,84918.25,Juniper Networks,DC-BR004
PO-2023-001844,2023-09-09,809358.62,Cisco Systems,DC-UK001
PO-2023-001845,2023-08-16,50776.1,Super Micro Computer,DC-UK001
PO-2023-001846,2023-11-10,4246.67,IBM,DC-SG003
PO-2023-001847,2023-01-27,55845.14,Cisco Systems,DC-BR004
PO-2023-001848,2023-10-26,113388.16,Super Micro Computer,DC-US001
PO-2023-001849,2023-05-06,136.27,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-001850,2023-12-11,1552320.34,Lenovo,DC-BR002
PO-2023-001851,2023-02-06,987501.69,Dell Technologies,DC-DE002
PO-2023-001852,2023-11-23,1337089.39,Lenovo,DC-AU002
PO-2023-001853,2023-12-26,987165.11,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001854,2023-10-14,475820.37,Dell Technologies,DC-NL001
PO-2023-001855,2023-11-22,344740.52,Dell Technologies,DC-DE001
PO-2023-001856,2023-07-04,3299.0,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-001857,2023-01-03,28424.45,Schneider Electric,DC-IE001
PO-2023-001858,2023-04-10,935418.4,Cisco Systems,DC-IN001
PO-2023-001859,2023-01-16,8860.6,Dell Technologies,DC-JP001
PO-2023-001860,2023-06-10,679637.24,Super Micro Computer,DC-BR001
PO-2023-001861,2023-09-02,723740.49,Dell Technologies,DC-IE001
PO-2023-001862,2023-11-28,552521.49,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-001863,2023-11-02,112.58,Cisco Systems,DC-US002
PO-2023-001864,2023-11-08,578172.26,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-001865,2023-12-19,1390594.95,Dell Technologies,DC-UK001
PO-2023-001866,2023-12-01,75129.9,Lenovo,DC-SG002
PO-2023-001867,2023-02-22,898866.9,Cisco Systems,DC-JP001
PO-2023-001868,2023-04-09,75457.29,Cisco Systems,DC-IE002
PO-2023-001869,2023-11-10,1859282.74,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-001870,2023-12-09,440623.63,Cisco Systems,DC-AU003
PO-2023-001871,2023-12-14,67269.36,Arista Networks,DC-IN001
PO-2023-001872,2023-10-20,20779.58,Schneider Electric,DC-DE002
PO-2023-001873,2023-05-22,52473.52,Arista Networks,DC-BR003
PO-2023-001874,2023-10-05,868229.63,Dell Technologies,DC-US001
PO-2023-001875,2023-06-13,53989.03,Supermicro,DC-JP001
PO-2023-001876,2023-09-21,286552.28,Dell Technologies,DC-US003
PO-2023-001877,2023-11-05,103881.09,Dell Technologies,DC-NL001
PO-2023-001878,2023-03-07,450067.88,Super Micro Computer,DC-JP001
PO-2023-001879,2023-12-17,145054.94,Dell Technologies,DC-NL001
PO-2023-001880,2023-11-21,1370893.84,Super Micro Computer,DC-JP001
PO-2023-001881,2023-03-02,14791.17,IBM,DC-US010
PO-2023-001882,2023-08-13,20589.39,Lenovo,DC-DE001
PO-2023-001883,2023-05-21,83993.14,Arista Networks,DC-FR001
PO-2023-001884,2023-09-06,301928.27,Dell Technologies,DC-JP002
PO-2023-001885,2023-11-12,939115.36,Dell Technologies,DC-AU001
PO-2023-001886,2023-11-11,232743.17,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-001887,2023-06-07,231144.83,Lenovo,DC-JP001
PO-2023-001888,2023-05-13,32498.27,Lenovo,DC-BR004
PO-2023-001889,2023-10-22,19385.92,Arista Networks,DC-UK001
PO-2023-001890,2023-09-22,12531.44,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001891,2023-11-15,125036.43,Dell Technologies,DC-JP001
PO-2023-001892,2023-07-15,32689.91,Eaton Corporation,DC-BR002
PO-2023-001893,2023-10-03,1363849.48,HPE (Hewlett Packard Enterprise),DC-US017
PO-2023-001894,2023-04-23,1051738.57,Dell Technologies,DC-US002
PO-2023-001895,2023-09-27,44465.02,Dell Technologies,DC-US011
PO-2023-001896,2023-05-15,257335.21,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-001897,2023-12-20,1853349.35,Cisco Systems,DC-IE001
PO-2023-001898,2023-09-09,18508.95,Eaton Corporation,DC-CA001
PO-2023-001899,2023-06-21,41216.87,Arista Networks,DC-US002
PO-2023-001900,2023-07-10,4969.8,IBM,DC-JP001
PO-2023-001901,2023-11-10,1473773.54,Super Micro Computer,DC-BR003
PO-2023-001902,2023-11-08,150521.58,Lenovo,DC-BR001
PO-2023-001903,2023-12-25,123288.38,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001904,2023-10-25,508116.92,Super Micro Computer,DC-CA001
PO-2023-001905,2023-03-14,108755.85,Dell Technologies,DC-CA001
PO-2023-001906,2023-10-27,2131054.45,Dell Technologies,DC-US002
PO-2023-001907,2023-11-13,235943.53,Cisco Systems,DC-FR001
PO-2023-001908,2023-03-11,273831.83,Dell Technologies,DC-US002
PO-2023-001909,2023-09-11,242486.41,Dell Technologies,DC-BR001
PO-2023-001910,2023-07-21,159615.94,Dell Technologies,DC-JP001
PO-2023-001911,2023-11-16,224895.07,Cisco Systems,DC-UK001
PO-2023-001912,2023-07-08,615799.07,Super Micro Computer,DC-US013
PO-2023-001913,2023-02-07,64522.04,Super Micro Computer,DC-US010
PO-2023-001914,2023-10-19,326908.11,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-001915,2023-11-23,171077.11,Dell Technologies,DC-US013
PO-2023-001916,2023-01-06,29133.14,Lenovo,DC-BR001
PO-2023-001917,2023-04-02,464744.06,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001918,2023-09-18,305052.39,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-001919,2023-03-27,416335.96,Lenovo,DC-DE001
PO-2023-001920,2023-11-05,108143.02,Dell Technologies,DC-US001
PO-2023-001921,2023-09-25,65422.92,Arista Networks,DC-US002
PO-2023-001922,2023-05-05,599885.63,Dell Technologies,DC-CA001
PO-2023-001923,2023-10-08,307902.02,Cisco Systems,DC-DE001
PO-2023-001924,2023-11-16,249064.02,HPE (Hewlett Packard Enterprise),DC-IE002
PO-2023-001925,2023-06-07,92319.69,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-001926,2023-06-12,171733.97,Cisco Systems,DC-CA001
PO-2023-001927,2023-09-27,806569.32,Cisco Systems,DC-CA001
PO-2023-001928,2023-05-25,167217.67,Cisco Systems,DC-US016
PO-2023-001929,2023-11-07,48696.0,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-001930,2023-05-23,215470.2,Dell Technologies,DC-CA001
PO-2023-001931,2023-03-13,146661.04,Dell Technologies,DC-US001
PO-2023-001932,2023-07-12,115103.87,Dell Technologies,DC-NL002
PO-2023-001933,2023-06-07,123247.51,HPE (Hewlett Packard Enterprise),DC-US015
PO-2023-001934,2023-01-04,9980.39,Super Micro Computer,DC-UK001
PO-2023-001935,2023-12-13,200303.35,Dell Technologies,DC-US014
PO-2023-001936,2023-05-21,33708.28,Dell Technologies,DC-NL003
PO-2023-001937,2023-12-02,40627.89,Pure Storage,DC-US006
PO-2023-001938,2023-12-15,1366506.82,Lenovo,DC-US003
PO-2023-001939,2023-04-21,160928.39,Lenovo,DC-CA001
PO-2023-001940,2023-03-16,30291.12,Pure Storage,DC-NL002
PO-2023-001941,2023-04-20,20865.65,HP Enterprise,DC-JP001
PO-2023-001942,2023-10-23,607768.67,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-001943,2023-09-21,121462.25,Dell Technologies,DC-UK001
PO-2023-001944,2023-12-12,31015.8,Cisco Systems,DC-JP002
PO-2023-001945,2023-11-18,185989.68,Dell Technologies,DC-DE001
PO-2023-001946,2023-11-05,28979.76,Arista Networks,DC-IE001
PO-2023-001947,2023-12-11,649986.35,Lenovo,DC-AU001
PO-2023-001948,2023-08-17,1427069.82,Cisco Systems,DC-NL004
PO-2023-001949,2023-09-03,3589.1,Schneider Electric,DC-SG001
PO-2023-001950,2023-07-06,15404.84,Lenovo,DC-BR004
PO-2023-001837,2023-04-07,325567.23,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001952,2023-10-23,840703.78,Cisco Systems,DC-BR001
PO-2023-001953,2023-11-25,501478.01,Lenovo,DC-UK001
PO-2023-001954,2023-12-18,126438.41,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001955,2023-11-22,247166.76,Super Micro Computer,DC-US015
PO-2023-001956,2023-03-25,744204.05,Cisco Systems,DC-BR003
PO-2023-001957,2023-06-01,862501.38,Dell Technologies,DC-IE003
PO-2023-001958,2023-04-25,2270.82,Cisco Systems,DC-US007
PO-2023-001959,2023-01-04,211151.21,Dell Technologies,DC-BR001
PO-2023-001960,2023-06-06,21746.6,Juniper Networks,DC-JP001
PO-2023-001961,2023-11-22,1226522.35,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-001962,2023-12-09,102020.9,HP Enterprise,DC-NL001
PO-2023-001963,2023-01-09,85807.77,Arista Networks,DC-NL001
PO-2023-001619,2023-12-24,459763.93,Cisco Systems,DC-JP001
PO-2023-001965,2023-03-12,78855.69,Cisco Systems,DC-US013
PO-2023-001966,2023-12-25,106917.2,Dell Technologies,DC-UK001
PO-2023-001967,2023-12-26,92405.18,Dell Technologies,DC-US001
PO-2023-001968,2023-11-07,721292.7,HPE (Hewlett Packard Enterprise),DC-US005
PO-2023-001969,2023-08-16,84243.98,NetApp,DC-US002
PO-2023-001970,2023-03-20,30106.55,Dell Technologies,DC-DE001
PO-2023-001971,2023-05-01,1169005.75,Lenovo,DC-US005
PO-2023-003029,2023-10-24,3087.99,Schneider Electric,DC-DE001
PO-2023-001973,2023-05-10,19471.81,Pure Storage,DC-IE001
PO-2023-001974,2023-10-08,628956.95,Cisco Systems,DC-NL001
PO-2023-001975,2023-06-13,41880.58,Arista Networks,DC-DE001
PO-2023-001976,2023-06-23,212181.3,Dell Technologies,DC-CA001
PO-2023-001977,2023-12-20,259928.18,Cisco Systems,DC-US002
PO-2023-001978,2023-06-07,289012.11,Cisco Systems,DC-US002
PO-2023-001979,2023-06-16,213686.9,Dell Technologies,DC-BR001
PO-2023-001980,2023-12-16,418924.16,Lenovo,DC-CA001
PO-2023-001981,2023-10-19,240402.64,Cisco Systems,DC-NL001
PO-2023-001982,2023-10-28,543265.41,Lenovo,DC-US003
PO-2023-001983,2023-11-25,94296.85,Dell Technologies,DC-NL001
PO-2023-001984,2023-07-15,6340.72,Dell Technologies,DC-IE001
PO-2023-001985,2023-11-05,336228.85,Super Micro Computer,DC-UK001
PO-2023-001986,2023-07-13,323961.07,Lenovo,DC-IE001
PO-2023-001763,2023-02-01,254074.2,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-001988,2023-03-07,54310.0,Cisco Systems,DC-BR001
PO-2023-001989,2023-02-22,99589.74,Arista Networks,DC-US003
PO-2023-001990,2023-06-09,144787.15,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-001991,2023-04-27,65630.06,HPE (Hewlett Packard Enterprise),DC-DE002
PO-2023-001992,2023-12-19,822360.68,Super Micro Computer,DC-BR001
PO-2023-001993,2023-12-10,632178.57,Cisco Systems,DC-AU003
PO-2023-001994,2023-03-03,224379.96,Dell Technologies,DC-JP001
PO-2023-001995,2023-06-06,397686.77,HPE (Hewlett Packard Enterprise),DC-AU001
PO-2023-001996,2023-06-11,197151.11,Cisco Systems,DC-NL001
PO-2023-001997,2023-10-18,224548.65,Dell Technologies,DC-US003
PO-2023-001998,2023-12-10,375906.13,Cisco Systems,DC-AU004
PO-2023-001999,2023-11-24,16201.08,Arista Networks,DC-SG003
PO-2023-002000,2023-09-06,186972.4,Dell Technologies,DC-UK001
PO-2023-002001,2023-10-21,1134678.2,Super Micro Computer,DC-NL001
PO-2023-002002,2023-11-06,212106.37,Dell Technologies,DC-JP001
PO-2023-002003,2023-11-05,494319.81,Dell Technologies,DC-JP002
PO-2023-002004,2023-11-18,512122.59,Dell Technologies,DC-US002
PO-2023-002005,2023-08-08,56005.92,IBM,DC-US002
PO-2023-002006,2023-12-18,569416.1,Dell Technologies,DC-US003
PO-2023-002007,2023-12-13,879505.59,Lenovo,DC-UK001
PO-2023-002008,2023-07-22,5735.1,Juniper Networks,DC-IN003
PO-2023-002009,2023-06-19,275116.29,Cisco Systems,DC-BR001
PO-2023-002010,2023-08-02,81978.49,Juniper Networks,DC-NL003
PO-2023-003472,2023-06-06,7824.99,Lenovo,DC-DE001
PO-2023-002012,2023-03-09,1740201.64,Dell Technologies,DC-BR004
PO-2023-002013,2023-04-01,230695.52,Dell Technologies,DC-BR004
PO-2023-002014,2023-11-01,63403.19,Schneider Electric,DC-NL001
PO-2023-002015,2023-01-28,239278.95,Dell Technologies,DC-CA001
PO-2023-002016,2023-10-17,3494.58,Cisco Systems,DC-US014
PO-2023-002017,2023-12-24,792827.88,Cisco Systems,DC-AU001
PO-2023-002018,2023-10-16,130561.15,Dell Technologies,DC-US003
PO-2023-002019,2023-02-04,201310.4,Dell Technologies,DC-BR001
PO-2023-002020,2023-08-22,561522.52,HPE (Hewlett Packard Enterprise),DC-IN001
PO-2023-002021,2023-08-22,125020.25,Cisco Systems,DC-US002
PO-2023-002022,2023-03-24,164173.69,Dell Technologies,DC-US004
PO-2023-002023,2023-06-15,9224.48,NetApp,DC-US016
PO-2023-002024,2023-09-25,28614.84,Juniper Networks,DC-IE001
PO-2023-002025,2023-02-03,204947.57,HPE (Hewlett Packard Enterprise),DC-BR003
PO-2023-002026,2023-06-17,224447.03,Super Micro Computer,DC-IE001
PO-2023-002027,2023-07-28,705479.84,Lenovo,DC-DE002
PO-2023-002028,2023-05-03,933491.83,Super Micro Computer,DC-AU002
PO-2023-002029,2023-10-10,1088608.68,Super Micro Computer,DC-BR001
PO-2023-002030,2023-11-05,43856.71,Juniper Networks,DC-US002
PO-2023-002031,2023-11-28,367090.62,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-002032,2023-03-22,173573.26,HPE (Hewlett Packard Enterprise),DC-US004
PO-2023-002033,2023-10-23,360155.09,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-002034,2023-05-06,124908.81,Cisco Systems,DC-US015
PO-2023-002035,2023-11-19,47324.22,Pure Storage,DC-UK001
PO-2023-002036,2023-06-17,356372.51,Super Micro Computer,DC-UK001
PO-2023-002037,2023-10-26,377421.7,HPE (Hewlett Packard Enterprise),DC-NL003
PO-2023-002038,2023-02-15,60879.41,Pure Storage,DC-NL001
PO-2023-002039,2023-10-02,43013.39,Super Micro Computer,DC-DE001
PO-2023-002040,2023-12-08,6955.25,Lenovo,DC-JP001
PO-2023-002041,2023-07-21,538012.65,Dell Technologies,DC-UK001
PO-2023-002042,2023-12-12,377880.77,Dell Technologies,DC-IE001
PO-2023-002043,2023-01-08,52825.33,Cisco Systems,DC-BR001
PO-2023-002044,2023-11-06,8415.88,Lenovo,DC-US001
PO-2023-002045,2023-11-14,895168.2,Cisco Systems,DC-US008
PO-2023-002046,2023-08-20,155421.66,Cisco Systems,DC-DE001
PO-2023-002047,2023-10-24,6785.81,Vertiv,DC-CA001
PO-2023-002048,2023-10-21,104644.15,HPE (Hewlett Packard Enterprise),DC-IE005
PO-2023-002049,2023-09-10,1947894.34,Dell Technologies,DC-IN003
PO-2023-002050,2023-02-14,169429.9,Super Micro Computer,DC-CA001
PO-2023-002051,2023-05-06,107086.65,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-002052,2023-11-15,118834.98,Dell Technologies,DC-CA001
PO-2023-002053,2023-12-27,24326.24,Pure Storage,DC-BR001
PO-2023-002054,2023-03-26,340.88,Dell Technologies,DC-US016
PO-2023-002055,2023-01-13,9614.76,Dell Technologies,DC-UK001
PO-2023-001096,2023-03-04,326215.11,Cisco Systems,DC-IE005
PO-2023-002057,2023-01-11,417612.36,Dell Technologies,DC-UK001
PO-2023-002058,2023-06-01,197718.74,Dell Technologies,DC-UK001
PO-2023-002059,2023-12-28,98697.46,Super Micro Computer,DC-US003
PO-2023-002060,2023-11-21,621482.77,Dell Technologies,DC-US001
PO-2023-002061,2023-07-18,1144679.26,HPE (Hewlett Packard Enterprise),DC-US015
PO-2023-002062,2023-03-23,102675.17,Dell Technologies,DC-IE006
PO-2023-002063,2023-01-04,86637.31,Dell Technologies,DC-NL001
PO-2023-002064,2023-11-23,1461555.18,Cisco Systems,DC-DE001
PO-2023-002065,2023-12-22,392181.17,Dell Technologies,DC-IE003
PO-2023-002066,2023-12-07,202695.3,Cisco Systems,DC-BR001
PO-2023-002067,2023-10-23,316872.94,Cisco Systems,DC-IE006
PO-2023-002068,2023-12-25,454565.29,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-002069,2023-10-19,524526.48,Cisco Systems,DC-AU004
PO-2023-002070,2023-06-26,63505.64,Cisco Systems,DC-IE003
PO-2023-002071,2023-08-05,2341605.85,Cisco Systems,DC-US002
PO-2023-002072,2023-07-03,12594.99,Super Micro Computer,DC-US002
PO-2023-002073,2023-08-13,407523.84,HPE (Hewlett Packard Enterprise),DC-NL003
PO-2023-002074,2023-09-06,314445.82,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-002075,2023-04-26,360025.14,HPE (Hewlett Packard Enterprise),DC-IE006
PO-2023-002076,2023-05-12,12138.65,Super Micro Computer,DC-CA001
PO-2023-002077,2023-10-04,202701.12,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-002078,2023-12-17,9239.61,Lenovo,DC-US012
PO-2023-002079,2023-07-11,3438.72,HPE (Hewlett Packard Enterprise),DC-US014
PO-2023-002080,2023-04-22,4490.61,Eaton Corporation,DC-AU003
PO-2023-002081,2023-03-03,1107992.23,Lenovo,DC-US001
PO-2023-002082,2023-06-22,267615.86,Super Micro Computer,DC-BR001
PO-2023-002083,2023-08-22,1050675.47,Dell Technologies,DC-US003
PO-2023-002084,2023-11-27,306689.62,Super Micro Computer,DC-IE001
PO-2023-002085,2023-04-20,156301.07,Dell Technologies,DC-IE001
PO-2023-002086,2023-02-09,367918.37,Cisco Systems,DC-US005
PO-2023-002087,2023-10-23,63803.33,Schneider Electric,DC-BR001
PO-2023-002088,2023-05-17,1114543.62,Super Micro Computer,DC-US003
PO-2023-002089,2023-10-15,291771.98,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-002090,2023-04-25,3936.31,Pure Storage,DC-UK001
PO-2023-002091,2023-11-02,1451510.66,Dell Technologies,DC-CA001
PO-2023-002092,2023-04-12,78723.89,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-002093,2023-11-08,203984.26,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-002094,2023-09-14,125439.34,Cisco Systems,DC-DE001
PO-2023-002095,2023-11-05,330043.5,Cisco Systems,DC-US002
PO-2023-002096,2023-06-25,45911.31,Dell Technologies,DC-BR001
PO-2023-002097,2023-05-24,4327.03,Lenovo,DC-CA001
PO-2023-002098,2023-10-19,98339.25,Lenovo,DC-UK001
PO-2023-002099,2023-12-18,370962.39,Dell Technologies,DC-US003
PO-2023-002100,2023-12-05,950614.31,Dell Technologies,DC-DE001
PO-2023-002101,2023-06-12,610416.43,Cisco Systems,DC-SG002
PO-2023-002102,2023-04-24,29799.53,Dell Technologies,DC-IE001
PO-2023-002103,2023-08-22,197712.52,Cisco Systems,DC-BR001
PO-2023-002104,2023-05-09,930754.2,HPE (Hewlett Packard Enterprise),DC-US007
PO-2023-002105,2023-08-24,6180.75,Arista Networks,DC-IE004
PO-2023-002106,2023-12-25,501939.99,Dell Technologies,DC-US003
PO-2023-002107,2023-11-19,731940.52,Dell Technologies,DC-BR001
PO-2023-002108,2023-02-20,91347.0,Dell Technologies,DC-IE001
PO-2023-002109,2023-05-05,96134.52,Arista Networks,DC-NL001
PO-2023-002123,2023-04-11,171137.93,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-002111,2023-10-11,1230864.32,Supermicro,DC-CA001
PO-2023-002112,2023-06-16,269043.52,Dell Technologies,DC-US003
PO-2023-002113,2023-08-14,180516.69,HPE (Hewlett Packard Enterprise),DC-IE005
PO-2023-002114,2023-03-24,46506.63,Schneider Electric,DC-US003
PO-2023-002115,2023-10-21,47796.18,Arista Networks,DC-FR001
PO-2023-002116,2023-12-16,1502844.84,Lenovo,DC-US001
PO-2023-002117,2023-12-18,313488.82,Cisco Systems,DC-IE005
PO-2023-002118,2023-11-09,1264209.04,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-002119,2023-04-17,21264.71,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-002120,2023-05-01,100423.63,Lenovo,DC-US002
PO-2023-002121,2023-07-11,1072134.7,Lenovo,DC-IE004
PO-2023-002122,2023-11-07,851469.96,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-002123,2023-07-13,1474933.47,Super Micro Computer,DC-US016
PO-2023-002124,2023-09-25,2391.97,Eaton Corporation,DC-NL001
PO-2023-002125,2023-10-09,331352.33,Cisco Systems,DC-DE002
PO-2023-002126,2023-07-21,51570.85,Cisco Systems,DC-US012
PO-2023-002127,2023-04-19,225738.97,Dell Technologies,DC-BR001
PO-2023-002128,2023-02-11,1414629.37,Cisco Systems,DC-US007
PO-2023-002129,2023-11-08,177166.46,Dell Technologies,DC-IE001
PO-2023-002130,2023-05-06,243392.14,HPE (Hewlett Packard Enterprise),DC-US009
PO-2023-002131,2023-02-10,1497048.68,Dell Technologies,DC-UK001
PO-2023-002132,2023-07-27,129257.33,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-002133,2023-05-27,797321.29,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-002134,2023-09-25,228727.99,Dell Technologies,DC-BR001
PO-2023-002135,2023-10-21,209311.65,Cisco Systems,DC-NL003
PO-2023-002136,2023-04-20,292049.67,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-002137,2023-11-10,22144.11,Arista Networks,DC-AU002
PO-2023-002138,2023-11-13,431970.37,Dell Technologies,DC-NL004
PO-2023-002139,2023-05-13,184385.12,Super Micro Computer,DC-DE001
PO-2023-002140,2023-10-21,82.64,HPE (Hewlett Packard Enterprise),DC-IE006
PO-2023-002141,2023-10-22,1271748.99,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-002142,2023-10-19,99122.21,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-002143,2023-05-27,556681.68,Super Micro Computer,DC-AU003
PO-2023-002144,2023-11-01,105689.61,Lenovo,DC-US002
PO-2023-002145,2023-11-01,242535.49,Cisco Systems,DC-IE001
PO-2023-002146,2023-11-27,435030.28,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-002147,2023-03-08,197759.64,Cisco Systems,DC-DE002
PO-2023-002148,2023-05-18,351481.31,Cisco Systems,DC-US013
PO-2023-002149,2023-06-10,24737.61,Super Micro Computer,DC-UK001
PO-2023-002150,2023-01-05,218795.79,Lenovo,DC-US007
PO-2023-002151,2023-12-04,186284.64,Dell Technologies,DC-AU003
PO-2023-002152,2023-10-01,9370.2,Lenovo,DC-US003
PO-2023-002153,2023-12-23,880729.81,Cisco Systems,DC-DE001
PO-2023-002154,2023-06-16,192246.56,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-002155,2023-10-10,616628.47,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-002156,2023-08-10,95305.09,Pure Storage,DC-IE001
PO-2023-002157,2023-09-24,297.3,Arista Networks,DC-US003
PO-2023-002158,2023-04-15,12695.34,Schneider Electric,DC-US007
PO-2023-002159,2023-01-21,66272.72,Dell Technologies,DC-US001
PO-2023-002160,2023-08-04,352882.61,Cisco Systems,DC-NL001
PO-2023-002161,2023-09-22,2651.52,Dell Technologies,DC-US002
PO-2023-002162,2023-10-07,588846.04,Dell Technologies,DC-AU004
PO-2023-002163,2023-07-27,64018.86,Supermicro,DC-JP001
PO-2023-002164,2023-10-12,296636.36,Dell Technologies,DC-US003
PO-2023-002165,2023-06-24,856841.38,Dell Technologies,DC-US001
PO-2023-002166,2023-10-06,65855.17,Lenovo,DC-BR001
PO-2023-002167,2023-12-27,88756.16,Lenovo,DC-IE001
PO-2023-002168,2023-11-12,401912.33,Cisco Systems,DC-NL001
PO-2023-002169,2023-07-24,3302.13,Juniper Networks,DC-CA001
PO-2023-002170,2023-08-22,694767.29,HPE (Hewlett Packard Enterprise),DC-AU003
PO-2023-002171,2023-12-02,95107.07,Lenovo,DC-US003
PO-2023-002172,2023-11-25,1785837.92,Cisco Systems,DC-US011
